Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Skill_Retention_Score,Burnout_Risk_Level
137619,Business,Sophomore,2.848,1.42,Ideation,Beginner,2,0,8.59,3,Actively_Encouraged,3,69.03,Medium
117104,Humanities,Sophomore,3.415,2.29,Debugging/Troubleshooting,Intermediate,2,0,10.98,1,Allowed_With_Citation,1,64.15,Low
117457,Medical,Junior,3.809,7.59,Direct_Answer_Generation,Advanced,5,0,13.35,2,Allowed_With_Citation,6,89.17,Low
120659,STEM,Sophomore,3.325,16.21,Debugging/Troubleshooting,Beginner,2,0,13.14,6,Actively_Encouraged,2,61.82,High
105737,Business,Graduate,3.38,9.66,Direct_Answer_Generation,Intermediate,4,0,6.86,1,Allowed_With_Citation,5,85.23,Medium
129625,Business,Freshman,3.749,7.38,Debugging/Troubleshooting,Beginner,3,0,7.93,4,Allowed_With_Citation,4,69.64,Low
112058,Humanities,Senior,3.586,1.32,Copywriting/Drafting,Advanced,5,0,10.47,3,Actively_Encouraged,2,88.28,High
126974,Business,Graduate,3.478,11.22,Direct_Answer_Generation,Advanced,4,0,11.02,5,Allowed_With_Citation,7,78.67,Low
125180,Business,Senior,3.824,5.8,Summarizing_Reading,Beginner,3,0,20.12,3,Actively_Encouraged,3,87.0,Medium
100758,Business,Freshman,3.188,6.72,Ideation,Intermediate,3,0,4.3,2,Allowed_With_Citation,5,74.89,Low
147764,Humanities,Graduate,2.338,5.04,Direct_Answer_Generation,Beginner,3,1,1.54,1,Allowed_With_Citation,2,74.91,Medium
147737,Medical,Junior,2.433,2.15,Copywriting/Drafting,Advanced,5,1,12.34,2,Allowed_With_Citation,2,63.67,Low
116697,Business,Sophomore,3.056,3.07,Direct_Answer_Generation,Beginner,3,0,13.43,5,Allowed_With_Citation,2,65.49,Medium
142372,Humanities,Graduate,3.586,8.7,Direct_Answer_Generation,Advanced,4,0,16.12,4,Strict_Ban,2,95.32,High
148717,Medical,Freshman,2.915,0.97,Debugging/Troubleshooting,Intermediate,2,1,15.58,2,Allowed_With_Citation,6,81.66,Low
109625,Humanities,Sophomore,3.352,5.98,Summarizing_Reading,Advanced,3,0,13.16,3,Actively_Encouraged,5,73.25,Medium
145417,STEM,Graduate,2.47,6.52,Copywriting/Drafting,Beginner,1,0,10.56,5,Strict_Ban,4,84.96,High
104250,Medical,Junior,3.846,9.82,Summarizing_Reading,Intermediate,1,0,7.05,3,Allowed_With_Citation,3,91.57,Medium
127261,Humanities,Freshman,2.872,3.39,Copywriting/Drafting,Beginner,2,1,17.96,2,Allowed_With_Citation,1,62.46,Low
138092,Arts,Freshman,2.982,4.37,Debugging/Troubleshooting,Beginner,2,0,12.36,4,Allowed_With_Citation,6,73.1,Medium
110265,Arts,Junior,3.047,5.98,Copywriting/Drafting,Intermediate,2,0,10.23,4,Strict_Ban,5,90.1,Low
114968,Humanities,Freshman,3.33,7.02,Copywriting/Drafting,Beginner,2,1,10.04,3,Actively_Encouraged,1,69.41,Low
141084,STEM,Senior,3.272,18.01,Direct_Answer_Generation,Intermediate,2,1,6.05,5,Strict_Ban,8,74.58,High
131146,STEM,Graduate,2.962,8.39,Debugging/Troubleshooting,Advanced,5,0,5.57,4,Actively_Encouraged,4,95.85,High
123371,STEM,Freshman,3.327,12.2,Copywriting/Drafting,Beginner,3,1,19.16,6,Strict_Ban,7,86.4,High
112153,STEM,Graduate,3.363,1.64,Debugging/Troubleshooting,Intermediate,2,1,7.37,1,Actively_Encouraged,3,78.34,High
134185,Humanities,Junior,2.572,1.75,Copywriting/Drafting,Beginner,3,0,7.21,3,Actively_Encouraged,5,76.34,Low
148739,Arts,Senior,3.193,10.25,Debugging/Troubleshooting,Beginner,2,0,21.31,2,Actively_Encouraged,5,82.15,Low
120487,Humanities,Senior,3.246,1.78,Copywriting/Drafting,Advanced,4,0,15.87,2,Allowed_With_Citation,3,100.0,Low
116699,Business,Sophomore,2.583,6.59,Summarizing_Reading,Beginner,3,0,17.63,1,Actively_Encouraged,6,68.38,Medium
130405,Arts,Sophomore,3.31,1.19,Copywriting/Drafting,Advanced,5,0,12.91,1,Allowed_With_Citation,4,100.0,Low
110573,STEM,Sophomore,2.807,5.61,Debugging/Troubleshooting,Intermediate,4,0,9.91,3,Actively_Encouraged,3,62.8,Medium
100096,Humanities,Senior,3.773,5.21,Copywriting/Drafting,Beginner,1,0,11.81,1,Allowed_With_Citation,3,59.56,High
141839,STEM,Freshman,3.61,3.45,Debugging/Troubleshooting,Beginner,2,0,17.29,3,Allowed_With_Citation,6,88.38,Low
135729,STEM,Senior,3.314,40.0,Direct_Answer_Generation,Advanced,3,0,6.99,9,Allowed_With_Citation,6,41.33,High
102478,Arts,Senior,3.805,11.9,Direct_Answer_Generation,Advanced,4,0,11.89,6,Actively_Encouraged,8,90.77,Low
148066,Humanities,Junior,3.777,34.0,Copywriting/Drafting,Intermediate,2,1,1.13,8,Allowed_With_Citation,3,56.62,Medium
108777,Medical,Graduate,3.687,2.46,Summarizing_Reading,Beginner,2,0,16.37,3,Strict_Ban,3,58.58,Medium
121522,Medical,Freshman,1.833,1.32,Ideation,Advanced,4,0,4.77,5,Actively_Encouraged,1,53.33,Low
113308,Medical,Senior,3.011,16.29,Ideation,Beginner,3,1,9.96,5,Allowed_With_Citation,4,79.82,High
121727,Business,Freshman,3.666,19.95,Ideation,Intermediate,3,1,11.47,6,Allowed_With_Citation,4,90.62,Low
142860,Business,Graduate,3.069,9.69,Summarizing_Reading,Advanced,4,1,9.8,1,Allowed_With_Citation,1,100.0,Low
125226,Medical,Junior,2.772,30.14,Debugging/Troubleshooting,Advanced,4,0,1.5,4,Actively_Encouraged,1,70.96,High
103638,STEM,Junior,3.207,8.38,Debugging/Troubleshooting,Advanced,3,0,14.85,4,Strict_Ban,3,97.24,Medium
142518,STEM,Senior,3.671,18.95,Debugging/Troubleshooting,Intermediate,3,0,10.98,7,Allowed_With_Citation,4,68.19,High
133502,Business,Sophomore,3.858,6.4,Ideation,Advanced,4,0,22.88,4,Allowed_With_Citation,5,79.61,Medium
147325,Arts,Sophomore,3.464,2.04,Copywriting/Drafting,Intermediate,2,0,19.28,1,Allowed_With_Citation,8,76.01,Low
122209,Business,Junior,3.048,5.58,Ideation,Beginner,1,1,7.67,1,Allowed_With_Citation,2,74.53,Low
122655,Business,Junior,2.937,4.85,Debugging/Troubleshooting,Intermediate,2,1,10.11,1,Actively_Encouraged,5,70.67,Low
113135,Business,Sophomore,3.545,9.63,Summarizing_Reading,Beginner,1,0,11.61,2,Allowed_With_Citation,3,79.45,Medium
128667,Humanities,Freshman,2.726,1.11,Debugging/Troubleshooting,Beginner,1,0,17.78,1,Allowed_With_Citation,5,62.81,Low
130378,Arts,Sophomore,3.934,0.4,Copywriting/Drafting,Beginner,3,1,28.2,1,Allowed_With_Citation,4,79.95,Low
129427,STEM,Senior,3.442,2.05,Debugging/Troubleshooting,Intermediate,3,0,8.94,1,Strict_Ban,5,84.16,Medium
149083,Humanities,Graduate,3.607,4.72,Summarizing_Reading,Intermediate,1,1,18.22,1,Allowed_With_Citation,6,68.13,Low
110308,STEM,Senior,3.378,9.99,Debugging/Troubleshooting,Intermediate,2,0,11.56,6,Allowed_With_Citation,4,94.86,Low
127784,Medical,Freshman,3.484,2.96,Summarizing_Reading,Beginner,1,0,15.83,1,Actively_Encouraged,3,88.96,Medium
129881,Business,Junior,2.392,3.97,Ideation,Beginner,1,0,1.0,2,Allowed_With_Citation,5,69.71,Medium
133511,Humanities,Junior,2.432,0.79,Direct_Answer_Generation,Beginner,3,1,2.44,1,Actively_Encouraged,4,70.75,High
116058,Medical,Sophomore,3.585,8.8,Summarizing_Reading,Intermediate,2,1,13.21,2,Allowed_With_Citation,3,87.04,Medium
118982,Arts,Graduate,3.412,6.54,Direct_Answer_Generation,Advanced,3,1,7.98,5,Allowed_With_Citation,2,88.57,Medium
128198,Business,Freshman,3.276,0.17,Ideation,Beginner,2,1,15.22,1,Actively_Encouraged,2,47.8,Low
124305,Business,Freshman,3.113,6.0,Direct_Answer_Generation,Intermediate,1,0,1.0,3,Actively_Encouraged,5,77.56,Medium
145118,Arts,Senior,2.94,2.87,Direct_Answer_Generation,Intermediate,1,0,7.4,4,Allowed_With_Citation,2,85.68,High
119820,Arts,Freshman,3.2,2.22,Copywriting/Drafting,Intermediate,4,0,25.08,2,Allowed_With_Citation,4,92.33,Low
137826,STEM,Freshman,3.731,7.12,Debugging/Troubleshooting,Beginner,3,1,6.81,1,Allowed_With_Citation,4,61.23,Medium
138470,Business,Senior,2.213,0.38,Ideation,Beginner,2,0,11.09,3,Allowed_With_Citation,5,68.48,Low
130688,Business,Sophomore,2.787,2.84,Ideation,Intermediate,2,0,11.02,2,Allowed_With_Citation,2,60.86,Low
149076,STEM,Graduate,2.879,27.87,Direct_Answer_Generation,Beginner,3,1,12.57,6,Allowed_With_Citation,1,61.72,High
136932,Medical,Junior,3.338,8.62,Summarizing_Reading,Beginner,3,0,16.43,4,Allowed_With_Citation,2,76.1,Low
105916,STEM,Senior,3.543,20.25,Debugging/Troubleshooting,Advanced,4,1,10.2,6,Actively_Encouraged,4,100.0,Medium
121726,Business,Senior,2.529,2.44,Ideation,Intermediate,4,0,5.41,1,Actively_Encouraged,3,76.62,Medium
120957,Business,Freshman,3.396,7.72,Ideation,Advanced,5,0,11.53,2,Allowed_With_Citation,6,73.63,Low
136746,STEM,Sophomore,2.819,40.0,Ideation,Intermediate,2,1,11.52,7,Actively_Encouraged,7,75.44,Medium
108384,Arts,Sophomore,2.956,2.67,Copywriting/Drafting,Beginner,3,0,14.73,1,Actively_Encouraged,9,45.55,Low
140733,Business,Sophomore,2.982,0.93,Ideation,Advanced,4,0,2.23,2,Actively_Encouraged,1,78.39,Medium
100390,Arts,Junior,3.154,9.15,Copywriting/Drafting,Intermediate,4,0,11.02,3,Strict_Ban,5,63.96,Medium
136042,Business,Graduate,3.556,2.92,Summarizing_Reading,Beginner,3,0,8.81,4,Allowed_With_Citation,5,68.18,Medium
106236,Arts,Sophomore,3.936,19.3,Ideation,Intermediate,2,0,17.56,6,Allowed_With_Citation,3,71.1,High
140124,Business,Freshman,3.778,1.42,Ideation,Advanced,5,0,5.22,5,Strict_Ban,5,59.69,Low
121631,Arts,Freshman,3.456,0.47,Debugging/Troubleshooting,Beginner,2,1,6.93,2,Strict_Ban,1,74.79,Medium
127084,Business,Junior,2.188,4.3,Direct_Answer_Generation,Beginner,2,0,2.43,1,Allowed_With_Citation,3,56.46,Medium
119090,Arts,Sophomore,2.592,5.77,Copywriting/Drafting,Beginner,3,1,12.76,4,Strict_Ban,6,80.98,Medium
122548,Humanities,Graduate,3.377,8.03,Summarizing_Reading,Beginner,2,0,15.45,4,Allowed_With_Citation,5,77.1,Medium
143206,Business,Sophomore,3.285,29.41,Ideation,Beginner,1,0,7.66,5,Allowed_With_Citation,5,55.22,High
147659,Humanities,Freshman,3.068,1.17,Ideation,Intermediate,2,0,6.39,2,Allowed_With_Citation,3,66.9,Medium
115819,STEM,Sophomore,3.578,11.13,Debugging/Troubleshooting,Advanced,3,1,2.32,5,Actively_Encouraged,5,76.04,High
117312,Business,Freshman,2.839,7.4,Ideation,Intermediate,5,0,9.6,6,Allowed_With_Citation,5,94.4,High
114625,Humanities,Senior,2.408,0.98,Ideation,Intermediate,2,0,7.44,3,Allowed_With_Citation,5,64.23,Medium
122683,Arts,Freshman,3.393,7.38,Summarizing_Reading,Intermediate,5,0,2.11,3,Actively_Encouraged,2,56.66,Medium
104241,Business,Junior,3.331,0.54,Ideation,Intermediate,4,0,13.17,4,Actively_Encouraged,8,83.75,Medium
104805,Arts,Junior,3.382,5.69,Ideation,Intermediate,4,0,7.41,3,Actively_Encouraged,9,87.62,Low
140886,STEM,Freshman,3.25,12.65,Debugging/Troubleshooting,Intermediate,3,1,5.69,6,Allowed_With_Citation,5,93.91,High
124084,Humanities,Sophomore,3.291,4.1,Copywriting/Drafting,Intermediate,2,0,4.82,2,Allowed_With_Citation,3,93.25,Medium
142856,Arts,Junior,2.826,7.06,Ideation,Intermediate,3,0,14.12,4,Actively_Encouraged,8,80.71,Medium
113408,Medical,Sophomore,3.595,5.06,Debugging/Troubleshooting,Beginner,2,0,5.84,4,Strict_Ban,4,70.86,Low
115990,Business,Graduate,2.834,9.45,Ideation,Intermediate,2,1,5.25,4,Strict_Ban,4,80.5,Low
109918,STEM,Junior,3.321,10.38,Debugging/Troubleshooting,Beginner,1,1,11.67,3,Actively_Encouraged,1,67.61,Low
128570,STEM,Freshman,3.045,26.05,Ideation,Advanced,4,0,10.82,4,Strict_Ban,9,68.3,High
104131,STEM,Sophomore,2.867,5.97,Debugging/Troubleshooting,Advanced,4,0,11.35,4,Allowed_With_Citation,4,99.03,Medium
109247,Humanities,Graduate,3.678,3.31,Copywriting/Drafting,Intermediate,2,0,9.47,4,Allowed_With_Citation,3,64.65,High
134834,Business,Sophomore,3.035,7.06,Ideation,Beginner,2,1,1.0,2,Allowed_With_Citation,2,81.76,Medium
145577,Arts,Senior,2.997,7.9,Ideation,Beginner,1,1,11.4,4,Strict_Ban,3,68.63,High
121942,Arts,Sophomore,3.098,14.75,Copywriting/Drafting,Beginner,3,1,15.31,4,Allowed_With_Citation,5,62.49,Medium
132814,Arts,Graduate,3.227,3.31,Copywriting/Drafting,Intermediate,2,1,19.62,3,Actively_Encouraged,1,83.56,Low
125090,Business,Freshman,2.212,8.41,Direct_Answer_Generation,Intermediate,5,0,21.99,5,Allowed_With_Citation,4,76.91,Medium
112355,Business,Freshman,3.236,18.92,Ideation,Beginner,3,0,19.26,4,Allowed_With_Citation,4,61.14,Medium
135043,Humanities,Freshman,3.64,7.08,Copywriting/Drafting,Intermediate,3,0,6.76,3,Allowed_With_Citation,4,92.71,Low
135185,Business,Graduate,3.586,2.81,Direct_Answer_Generation,Intermediate,3,1,12.89,1,Allowed_With_Citation,2,78.17,Low
106349,Business,Graduate,3.288,15.63,Ideation,Intermediate,3,0,14.41,4,Actively_Encouraged,2,73.18,Medium
125308,Medical,Freshman,2.278,0.27,Ideation,Intermediate,4,0,12.45,2,Allowed_With_Citation,6,57.65,Low
137176,STEM,Freshman,2.055,2.3,Debugging/Troubleshooting,Intermediate,3,1,13.05,3,Allowed_With_Citation,7,70.93,Low
101277,STEM,Senior,3.697,12.14,Debugging/Troubleshooting,Beginner,1,0,10.98,7,Allowed_With_Citation,8,63.37,Medium
123937,Business,Freshman,3.348,2.7,Summarizing_Reading,Beginner,2,0,22.52,3,Allowed_With_Citation,2,81.17,Low
